Gi,GVhel,mag,Type,Type II Label
50.0,3117.0,16.5,II,Type II
54.0,6660.0,18.5,II,Type II
38.0,2519.0,17.0,II,Type II
56.0,2135.0,11.7,II:,Type II
17.0,592.0,13.5,II:,Type II
17.0,1566.0,14.0,II,Type II
47.0,2378.0,14.8,IIL,Type II
90.0,774.0,15.0,II,Type II
17.0,592.0,13.5,IIP,Type II
90.0,667.0,13.3,IIL,Type II
48.0,1206.0,12.8,II,Type II
41.0,8883.0,16.3,II,Type II
21.0,609.0,16.8,II,Type II
70.0,1718.0,15.7,II:,Type II
41.0,1302.0,16.8,II,Type II
71.0,772.0,14.9,II,Type II
12.0,809.0,14.0,IIL,Type II
50.0,2643.0,13.0,II,Type II
40.0,475.0,11.5,II,Type II
34.0,1156.0,17.0,IIPec,Type II
74.0,1520.0,14.5,II,Type II
34.0,1156.0,14.7,II,Type II
21.0,986.0,14.8,IIL,Type II
48.0,2115.0,14.6,II:,Type II
30.0,2407.0,14.0,II,Type II
30.0,2410.0,15.7,II,Type II
73.0,699.0,14.5,II,Type II
44.0,518.0,13.1,IIP,Type II
41.0,-169.0,11.0,II:,Type II
43.0,3105.0,16.2,II:,Type II
78.0,2338.0,15.6,II:,Type II
30.0,2407.0,16.1,IIP,Type II
64.0,727.0,15.4,IIP,Type II
24.0,4857.0,16.5,II,Type II
30.0,11818.0,17.0,II,Type II
72.0,1589.0,14.6,II:,Type II
61.0,1289.0,16.0,IIP,Type II
44.0,4370.0,16.9,II:,Type II
21.0,2927.0,14.0,II,Type II
58.0,4093.0,18.5,II,Type II
53.0,1697.0,17.0,II,Type II
77.0,1196.0,13.0,II,Type II
36.0,2683.0,17.0,II,Type II
67.0,565.0,15.5,IIP,Type II
66.0,689.0,16.0,II:,Type II
90.0,1292.0,14.9,IIL,Type II
83.0,1164.0,14.5,II,Type II
58.0,1292.0,13.2,II,Type II
55.0,13685.0,17.5,II,Type II
52.0,1014.0,16.4,II,Type II
84.0,4591.0,16.5,II,Type II
51.0,5578.0,17.4,II,Type II
74.0,2098.0,12.8,II,Type II
90.0,6725.0,18.0,II,Type II
30.0,4252.0,17.5,IIn,Type II
69.0,1991.0,15.5,II,Type II
81.0,1313.0,15.4,IIn,Type II
77.0,1241.0,15.9,IIP,Type II
54.0,8465.0,19.0,II,Type II
90.0,7423.0,19.0,II,Type II
27.0,3362.0,17.0,II,Type II
71.0,11092.0,20.0,II,Type II
63.0,5244.0,18.5,II:,Type II
62.0,9711.0,18.0,II,Type II
12.0,3037.0,16.5,II,Type II
64.0,1793.0,14.6,IIL,Type II
80.0,4314.0,19.0,II,Type II
76.0,3304.0,18.5,II,Type II
38.0,6000.0,17.1,II,Type II
27.0,14310.0,18.4,IIP,Type II
62.0,15289.0,18.0,IIPec,Type II
50.0,1275.0,15.0,II,Type II
36.0,2722.0,14.5,II,Type II
71.0,2940.0,17.5,IIPec,Type II
62.0,9896.0,17.5,II,Type II
30.0,8288.0,18.0,II,Type II
47.0,2044.0,14.7,II,Type II
71.0,2940.0,17.5,II,Type II
40.0,2087.0,16.0,II,Type II
47.0,3380.0,16.0,II,Type II
34.0,9900.0,18.5,IIn,Type II
50.0,1296.0,16.5,IIPec,Type II
24.0,3645.0,16.7,II,Type II
70.0,2388.0,16.5,IIn,Type II
63.0,3257.0,17.0,II,Type II
31.511932842187978,3870.0,15.9,II,Type II
64.54658104186757,1561.0,14.5,II,Type II
14.660806736707144,4099.0,16.2,II:,Type II
26.338819471376894,7396.0,17.3,IIb:,Type II
44.61332922785256,3102.0,15.3,IIn,Type II
52.16862864273991,2723.0,15.9,II,Type II
65.77570351194632,1566.0,14.0,II,Type II
69.75706028010183,1753.0,16.5,II,Type II
71.32585567812845,4342.0,15.5,IIn,Type II
54.45141388877969,13828.0,17.7,II,Type II
61.967216315970575,1753.0,16.5,II,Type II
37.30718826680045,1860.0,16.8,II,Type II
55.18719692314899,1302.0,16.8,II,Type II
48.310977490028186,7195.0,17.5,II,Type II
46.50926241062575,278.0,2.9,IIPec,Type II
51.266453062791506,4866.0,17.5,II,Type II
49.82403566268958,6182.0,19.0,II,Type II
63.291045906953514,5900.0,17.5,IIn,Type II
60.546601609883716,7554.0,18.0,II,Type II
64.27045108431994,4244.0,18.0,II,Type II
42.920359468746625,1164.0,14.5,II,Type II
43.2086040616187,4411.0,16.8,II,Type II
59.36959523583208,2927.0,14.0,II,Type II
76.01736051971812,5761.0,18.0,IIPec,Type II
34.22227568301864,5182.0,16.0,IIn,Type II
30.97369384159559,1478.0,13.0,IIPec,Type II
66.21148395429384,4103.0,16.3,II,Type II
60.99871924686947,930.0,14.4,II,Type II
56.96905764816326,4340.0,16.6,II,Type II
57.042831785161226,6660.0,18.5,II,Type II
62.48580722516621,11818.0,17.0,II,Type II
