Gi,GVhel,mag,Type,Type I Label
69.0,5549.0,15.9,Ia,Type I
52.0,4361.0,15.4,Ia,Type I
27.0,5609.0,16.5,Ic,Type I
73.0,5996.0,15.2,Ia,Type I
80.0,11135.0,18.0,Ia,Type I
24.0,1703.0,17.6,Ia,Type I
61.0,1680.0,12.5,Ia,Type I
48.0,1396.0,14.8,Ib:,Type I
43.0,1407.0,16.0,Ib/c,Type I
74.0,1953.0,18.2,Ia,Type I
50.0,23684.0,18.5,Ia,Type I
17.0,2135.0,13.1,Ia,Type I
70.0,4218.0,16.5,Ic,Type I
52.0,5332.0,17.2,Ia,Type I
44.0,17138.0,18.3,Ia,Type I
68.0,1498.0,16.5,Ic,Type I
32.0,8745.0,16.5,Ia,Type I
64.0,10350.0,16.8,Ia,Type I
24.0,4480.0,16.6,Ib,Type I
52.0,1406.0,14.0,Ia,Type I
27.0,1532.0,14.0,Ib,Type I
24.0,5313.0,15.6,Ia,Type I
71.0,10793.0,17.4,Ia,Type I
56.0,21285.0,18.3,Ia:,Type I
46.0,1087.0,16.5,Ib/c,Type I
48.0,20686.0,18.8,Ia,Type I
34.0,3244.0,14.9,Ia,Type I
53.0,13491.0,17.9,Ia,Type I
46.0,3706.0,16.7,Ic,Type I
32.0,3559.0,17.2,Ic,Type I
47.0,17988.0,20.0,Ia,Type I
68.0,2731.0,16.0,Ia,Type I
41.0,2277.0,14.6,Ia,Type I
67.0,5096.0,18.0,Ia:,Type I
36.0,1695.0,15.1,Ia,Type I
48.0,10493.0,18.0,Ia,Type I
43.0,5865.0,17.8,Ia,Type I
62.0,1482.0,14.9,Ic,Type I
55.0,3733.0,14.5,IaPec,Type I
44.0,3080.0,16.3,Ia,Type I
41.0,547.0,12.5,Ia,Type I
68.0,2880.0,16.7,Ib,Type I
71.0,4612.0,14.5,Ia,Type I
53.0,15589.0,17.8,Ia,Type I
44.0,7080.0,15.9,Ia,Type I
38.0,7257.0,17.0,Ia,Type I
44.0,6019.0,17.2,Ic,Type I
69.0,404.0,8.4,Ia,Type I
69.0,404.0,8.0,I,Type I
90.0,4071.0,15.8,Ia,Type I
71.0,4653.0,16.0,Ic,Type I
24.0,516.0,11.4,Ib,Type I
55.0,13612.0,16.2,Ia,Type I
74.0,2168.0,16.0,Ic,Type I
74.0,9426.0,16.7,Ia,Type I
86.0,7795.0,16.6,Ia,Type I
86.0,2085.0,13.8,Ia,Type I
47.0,7347.0,17.1,Ib/c:,Type I
71.0,6758.0,15.9,Ic,Type I
32.0,10832.0,17.1,Ia,Type I
38.0,6355.0,17.6,Ia,Type I
30.0,15080.0,17.9,Ia,Type I
61.0,4333.0,14.8,Ia,Type I
47.0,4647.0,14.8,Ia,Type I
54.0,4534.0,16.9,Ia,Type I
48.0,3686.0,17.5,Ia,Type I
43.0,11992.0,17.3,Ia,Type I
56.0,4264.0,14.7,Ia,Type I
83.0,4793.0,18.0,Ic,Type I
56.0,7547.0,19.6,Ia,Type I
77.0,4197.0,14.6,Ia,Type I
52.0,16668.0,18.0,Ia,Type I
52.0,12891.0,17.3,Ia,Type I
82.0,3001.0,14.1,Ia,Type I
40.0,30279.0,19.4,Ia,Type I
79.0,1926.0,14.0,Ia,Type I
56.0,8102.0,17.5,Ic,Type I
38.0,2651.0,13.4,Ia,Type I
59.0,3422.0,16.6,Ib/c,Type I
59.0,3422.0,14.6,Ia,Type I
44.0,4388.0,14.9,Ia,Type I
30.0,3124.0,14.5,Ia,Type I
90.0,2847.0,16.5,Ia,Type I
32.0,2548.0,13.6,Ic,Type I
41.0,2579.0,15.4,Ia,Type I
