recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc,Type II Label
1770,2000ef, ,ANON,37.0425,-1.1849999999999998,,122915.0, ,23.2,>,II:,37.04291666666666,-1.1843333333333332,High-Z Supernova Search Team,Type II
1984,2001fl, ,ANON,37.06249999999999,0.3549999999999999,,26082.0, ,19.6,>,IIn,37.06325,0.3551666666666666,High-Z Supernova Search Team,Type II
1598,1999fl, ,ANON,37.5225,0.7483333333333332,,89938.0, ,24.9,>,II,37.52304166666666,0.7479444444444443,High-Z Supernova Search Team,Type II
1957,2001ek, ,ANON,37.5725,1.065,,, ,25.0,>,IIP,37.57341666666666,1.0656666666666663,High-Z Supernova Search Team,Type II
2322,2002gq, ,ANON,32.622499999999995,0.5383333333333332,,59958.0, ,21.0,>,IIPec,32.623708333333326,0.5380277777777777,Sloan Digital Sky Survey,Type II
2063,2001im, ,ANON,31.07,0.6533333333333332,,22506.0, ,21.0,>,IIb,31.07,0.6530555555555555,Miknaitis (Sloan Digital Sky Survey),Type II
1755,2000dq, ,P 8157,32.084999999999994,1.1833333333333331,32.0,12702.0,.S..1.,18.5,>,II,32.08741666666666,1.1835555555555557,Lick Observatory Supernova Search,Type II
2364,2002ig, ,ANON,24.155,0.9233333333333332,,23084.0, ,19.6,>,II,24.152999999999995,0.9237777777777776,"Miknaitis, Miceli, Garg  (Sloan Digital Sky Survey(SDSS))",Type II
1074,1996be, ,ANON,33.0125,1.3783333333333332,,65954.0, ,22.2,>,II,33.01179166666666,1.3775277777777777,High-Z Supernova Search Team,Type II
1542,1999dh, ,I  211,32.7825,3.851666666666666,52.0,3256.0,.SXS5.,15.5,>,II,32.77529166666666,3.851916666666666,Lick Observatory Supernova Search,Type II
1007,1995av, ,ANON,30.4025,3.648333333333333,,89938.0, ,20.1,>,II:,30.403125,3.6486666666666654,Supernova Cosmology Project,Type II
2464,2003G, ,I  208,32.114999999999995,6.394999999999999,24.0,3449.0,.S..4.,14.5,=,IIn,32.11720833333333,6.397749999999999,"Graham, Li +",Type II
626,1986K, ,N  298,13.759999999999998,-7.333333333333332,76.0,1753.0,.S..5.,16.5,>,II,13.772416666666665,-7.334055555555555,Schildknecht,Type II
1777,2000em, ,LEDA143614,8.874999999999998,-2.658333333333333,,5696.0, ,18.3,>,IIPec,8.874249999999998,-2.6576111111111107,Nearby Galaxies Supernova Search team,Type II
