recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc,Type I Label
2443,2002lh, ,ANON,221.085,31.261666666666663,,70751.0, ,21.0,>,Ia,221.08491666666663,31.26233333333333,"Gal-Yam, Maoz, Prada, Guhathakurta",Type I
1905,2001ck, ,P87675,219.46,30.48333333333333,70.0,10408.0,DS..1.,16.4,>,Ia,219.45866666666663,30.48394444444444,Li +,Type I
2236,2002di, ,M 05-40-2,253.095,30.711666666666662,,10910.0, ,17.6,>,IaPec,253.0970833333333,30.711111111111105,"Puckett, Cox",Type I
2210,2002ci, ,U10301,243.9075,31.321666666666665,87.0,6663.0,.SB.3*,17.1,>,Ia,243.908125,31.3215,"Martin, Li +",Type I
789,1991am, ,M 06-37-06,250.45999999999995,37.73499999999999,34.0,18353.0,.S....,18.0,>,Ia:,250.461375,37.73641666666666,Pollas,Type I
2688,2003ia, ,N 6109,244.42,35.00333333333333,12.0,8857.0,.L....,17.2,>,Ia,244.42154166666663,35.001999999999995,Itagaki,Type I
2232,2002de, ,N 6104,244.1275,35.70833333333333,38.0,8429.0,.SB.1.,16.0,>,Ia,244.1265833333333,35.708388888888884,"Papenkova, Li+",Type I
2640,2003ge, ,N 6122,245.04,37.798333333333325,,10088.0, ,17.8,>,Ia,245.0364583333333,37.79825,"Puckett, Langoussis",Type I
1514,1999cb, ,MKN 881,246.455,40.34499999999999,48.0,8637.0,.S..5.,15.7,>,Ia,246.4517083333333,40.34233333333333,"Trondal, Schwartz",Type I
2208,2002cg, ,U10415,247.2525,41.285,34.0,9546.0,.SX.3.,17.4,>,Ic,247.25199999999995,41.28344444444444,Li +,Type I
853,1992ap, ,U10430,247.6375,41.493333333333325,32.0,8957.0,.SBT4.,18.0,>,Ia,247.61291666666665,41.31666666666666,Birkle,Type I
2610,2003fa, ,ANON,266.0325,40.865,,, ,18.1,>,Ia,266.0321666666666,40.88099999999999,"Weisz, Li+",Type I
2594,2003ek, ,P 91591,259.635,41.66833333333333,86.0,10804.0,.S..5.,18.2,>,Ia,259.63541666666663,41.66688888888888,"Ganeshalingam, Graham, Pugh, Li+",Type I
1520,1999ch, ,ANON,253.69,39.986666666666665,,44969.0, ,, ,Ia,253.690375,39.98719444444444,Wise Observatory Optical Transients Search,Type I
937,1994Q, ,P59076,252.465,40.43333333333333,,8863.0, ,17.0,=,Ia,252.463125,40.43219444444444,Pollas,Type I
1194,1997cd, ,ANON,256.56999999999994,44.07666666666666,,152894.0, ,22.9,>,Ia,256.57112499999994,44.0761111111111,High-Z Supernova Search Team,Type I
1195,1997ce, ,ANON,256.95,44.023333333333326,,131909.0,.S...L,23.3,>,Ia,256.9510833333333,44.02394444444444,High-Z Supernova Search Team,Type I
763,1991L, ,M 07-34-134,250.3125,39.28999999999999,48.0,9186.0,DS..9.,18.0,>,Ib/c,250.31266666666664,39.29241666666666,Pollas,Type I
2452,2002lq, ,ANON,250.1175,41.23666666666666,,20985.0, ,21.9,>,Ia,250.120125,41.23586111111111,European Supernova Cosmology Consortium,Type I
2172,2002aw, ,LEDA2172338,249.3725,40.88,,7838.0, ,16.6,>,Ia,249.3710833333333,40.88047222222222,"Puckett, Peoples",Type I
2447,2002ll, ,ANON,249.285,41.41,,14990.0, ,20.5,>,Ia:,249.2845833333333,41.41047222222222,European Supernova Cosmology Consortium,Type I
2450,2002lo, ,ANON,249.985,42.32333333333333,,41971.0, ,21.8,>,Ia,249.9850833333333,42.32236111111111,European Supernova Cosmology Consortium,Type I
2451,2002lp, ,ANON,250.0475,42.475,,34176.0, ,20.4,>,Ia,250.0477083333333,42.47505555555555,European Supernova Cosmology Consortium,Type I
2677,2003hp, ,U10942,265.06999999999994,51.03,70.0,6378.0,.SB.4.,18.4,>,Ic,265.07787499999995,51.02813888888888,"Moore, Li+",Type I
2884,2004cp, ,ANON,235.1025,32.86666666666666,,16188.0, ,19.6,>,Ia,235.10316666666665,32.86588888888888,SDSS Collaboration,Type I
1884,2001bp, ,LEDA2085703,240.5375,36.71999999999999,,28480.0, ,17.5,>,Ia,240.53854166666665,36.71888888888888,"Papenkova, Li +",Type I
1856,2001al, ,ANON,,,,20985.0, ,21.1,>,Ia,236.2155833333333,36.12472222222222,"Gal-Yam, Maoz",Type I
1515,1999cc, ,N 6038,240.67,37.35999999999999,27.0,9392.0,.S..5.,16.1,>,Ia,240.675125,37.35955555555555,Schwartz,Type I
