recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc
2743,"2003kd", ,"U 2468",45.18999999999999,44.45166666666666,,9050,".S..0.",16.7,>,"Ia",45.19083333333333,44.45361111111111,"Swift, Foley, Li+"
1094,"1996by", ,"U 3379",89.60499999999999,68.46166666666666,59,4114,"PSB.3.",16.1,>,"Ia",89.60399999999998,68.45336111111111,"BAO Supernova Survey"
2658,"2003gw", ,"U 3252",77.93749999999999,67.48833333333333,38,6115,".SB.5.",17.1,>,"II:",77.94866666666665,67.48949999999999,"Armstrong"
1972,"2001ez", ,"P17642",85.65249999999999,69.23666666666665,,3872," ",17.6,>,"II",85.65683333333332,69.23738888888887,"Hutchings, Li +"
2069,"2001is", ,"N 1961",85.5225,69.37833333333333,47,3934,".SBT5.",17.6,>,"Ib",85.53799999999998,69.36530555555555,"Qiu, Hu"
1406,"1998eb", ,"N 1961",85.5225,69.37833333333333,47,3934,".SBT5.",17.8,>,"Ia",85.55008333333332,69.3739722222222,"Li, Modjaz, Halderson, Shefler, King,  Papenkova, Treffers, Filippenko"
1550,"1999dp", ,"U 3046",67.32499999999999,69.51666666666665,34,4699,".S..3.",18.2,>,"II",67.31941666666665,69.53349999999999,"Lick Observatory Supernova Search"
94,"1953L", ,"U 3267",78.95249999999999,71.47333333333333,57,7036,".S..5.",15.0,>," ",78.94383333333332,71.46155555555555,"Mueller"
1929,"2001di", ,"U 3259",78.5675,72.335,44,4939,".SX.6.",17.7,>,"II",78.57320833333333,72.34472222222222,"Armstrong"
1952,"2001ef", ,"I  381",71.11749999999999,75.63999999999999,43,2476,".SBT4.",16.1,>,"Ic",71.11899999999999,75.64174999999999,"Armstrong"
1820,"2001B", ,"I  391",74.34249999999999,78.18833333333332,17,1556,".SAS5.",15.2,>,"Ib:",74.33016666666666,78.18791666666665,"Xu, Li"
2697,"2003ij", ,"U 3336",88.93749999999999,85.91499999999999,55,5511,".SB.3.",17.8,>,"Ia",88.92158333333332,85.90602777777777,"Boles"
908,"1993Z", ,"N 2775",137.58499999999998,7.038333333333332,38,1354,".SAR2.",13.9,>,"Ia",137.58166666666665,7.02786111111111,"Treffers, Filippenko, Leibundgut, Paik, Lee, Richmond"
2789,"2003ly", ,"ANON",144.45749999999998,10.193333333333332,,," ",20.4,>,"Ia",144.45804166666665,10.193916666666665,"Connolly, SDSS Collaboration"
2880,"2004cl", ,"ANON",127.38999999999999,8.868333333333332,,33577," ",21.5,>,"Ia",127.38945833333331,8.868166666666665,"SDSS Collaboration"
1978,"2001ff", ,"U 4685",134.255,13.198333333333332,69,3978,".S..4.",17.1,>,"II",134.25404166666664,13.19986111111111,"Li +"
1480,"1999as", ,"ANON",139.12749999999997,13.649999999999999,,35975," ",18.3,>,"Ia",139.12858333333332,13.65061111111111,"Supernova Cosmology Project"
1828,"2001J", ,"U 4729",135.17499999999998,17.621666666666663,34,3900,".SBS5.",17.5,>,"II",135.18012499999998,17.621,"Beckmann, Li +"
1644,"2000I", ,"N 2958",145.17499999999998,11.888333333333332,41,6663,".SBR4.",17.8,>,"II",145.17308333333332,11.885694444444443,"Puckett, George"
1298,"1998W", ,"N 3075",149.73499999999999,14.419999999999998,61,3582,".S..5.",17.3,>,"II",149.72845833333332,14.423805555555553,"Li, Modjaz, Treffers, Filippenko"
887,"1993C", ,"N 2954",145.105,14.923333333333332,,3821,".E....",18.0,>,"Ia",145.09924999999998,14.936555555555554,"Pollas"
2478,"2003W", ,"U 5234",146.70749999999998,16.04333333333333,47,6017,".S..5.",16.9,>,"Ia",146.70616666666663,16.043777777777777,"Li, Weisz+"
2979,"2004gg", ,"U 5234",146.70749999999998,16.04333333333333,47,6017,".S..5.",18.5,>,"II",146.70458333333332,16.045694444444443,"Moore, Shimasaki, Li+"
1481,"1999at", ,"LEDA1546995",155.79749999999999,17.98333333333333,,8184,".E....",18.8,>,"Ia",155.79708333333332,17.984999999999996,"Supernova Cosmology Project"
571,"1983U", ,"N 3227",155.87999999999997,19.86333333333333,55,1157,".SBS1P",13.1,=,"Ia",155.87254166666665,19.865499999999997,"Pronik"
470,"1976K", ,"N 3226",155.86499999999998,19.89833333333333,,1151,".E.2.P",17.0,>," ",155.86999999999998,19.904166666666665,"Klemola"
2190,"2002bo", ,"N 3190",154.52249999999998,21.83333333333333,70,1271,".SAS1P",13.8,=,"Ia",154.52712499999998,21.828166666666664,"Cacella; Hirose"
2223,"2002cv", ,"N 3190",154.52249999999998,21.83333333333333,70,1271,".SAS1P",16.6,>,"Ia",154.5153333333333,21.834999999999997,"Larionov, Arkharov; Caratti, Di Paola, Dolci"
2000,"2001gb", ,"P 28838",149.74999999999997,17.816666666666663,17,7714,".S..5.",16.8,>,"Ia",149.754,17.82011111111111,"Schwartz, Li +"
1140,"1997ab",*,"ANON",147.75249999999997,20.074999999999996,,3600,".Idwf.",14.7,>,"II",147.75166666666664,20.07333333333333,"Supernova Cosmology Project"
1491,"1999bd", ,"ANON",142.61999999999998,16.435,,45269," ",17.7,>,"II",142.62154166666664,16.435499999999998,"Supernova Cosmology Project, Near-Earth Asteroid Tracking project"
2475,"2003T", ,"U 4864",138.55249999999998,16.741666666666664,27,8368,".S..2.",17.8,>,"II",138.5460833333333,16.746666666666663,"Schwartz, Li +"
1319,"1998ar", ,"N 2916",143.73999999999998,21.705,48,3730,".SAT3$",15.3,>,"II",143.74524999999997,21.71597222222222,"Qiu, Qiao, Li, Hu"
1977,"2001fe", ,"U 5129",144.49249999999998,25.494999999999997,62,4059,".S..1.",14.9,>,"Ia",144.48774999999998,25.494861111111106,"Armstrong"
671,"1988W", ,"LEDA1786676",145.66249999999997,26.73333333333333,,," ",20.2,>," ",145.6570833333333,26.734916666666663,"Pollas"
2850,"2004bh", ,"U 5161",145.23499999999999,27.77833333333333,59,10079,".S..5.",16.9,>,"II",145.23529166666665,27.77961111111111,"Armstrong"
1474,"1999am", ,"P23575",126.03999999999998,12.121666666666664,,9612," ",17.8,>,"Ia",126.04533333333332,12.116277777777777,"Supernova Cosmology Project"
681,"1988ah", ,"U 4244",122.11749999999998,11.176666666666666,44,9682,".S..2.",16.5,>," ",122.11791666666664,11.176305555555555,"Mueller"
2512,"2003bf", ,"LEDA 100775",122.10999999999999,12.331666666666665,,10068," ",17.2,>,"Ia",122.10979166666665,12.332277777777776,"Wood-Vasey, Aldering, Nugent"
922,"1994B", ,"LEDA1491962",125.16999999999999,15.729999999999999,30,26682,".S....",19.2,>,"Ia",125.17049999999998,15.730138888888886,"Pollas"
2991,"2004gs", ,"M 03-22-20",129.6,17.631666666666664,,7988,".E....",17.1,>,"Ia",129.5965833333333,17.62772222222222,"Park, Li+"
2522,"2003bp", ,"N 2596",126.85999999999999,17.284999999999997,59,5938,".S..3.",17.8,>,"Ib",126.86587499999999,17.28736111111111,"Hutchings, Li+"
1490,"1999bc", ,"U 4433",127.12749999999998,17.46833333333333,46,6299,".S..5.",18.9,>,"Ic",127.12949999999998,17.47094444444444,"Supernova Cosmology Project, Near-Earth Asteroid Tracking project"
1492,"1999be", ,"C 89-013",125.91499999999998,18.299999999999997,,5657," ",15.8,>," ",125.91083333333331,18.305666666666664,"Supernova Cosmology Project, Spacewatch program at the University of Arizona"
187,"1961B", ,"I 2363",126.43999999999998,19.449999999999996,32,7616,".SBS4.",18.5,>,"I",126.44216666666665,19.454111111111107,"Humason"
1462,"1999aa", ,"N 2595",126.92499999999998,21.479999999999997,41,4330,".SBT5.",14.8,=,"IaPec",126.92549999999999,21.487638888888885,"Arbour"
181,"1960N", ,"U 4399",126.53249999999998,21.455,75,4480,".S..7.",16.6,>,"I",126.53324999999998,21.459027777777774,"Gomes"
890,"1993F", ,"ANON",119.33999999999999,20.083333333333332,,," ",18.5,>," ",119.34016666666665,20.08319444444444,"Pollas"
1277,"1998B", ,"LEDA1568040",116.50999999999999,18.716666666666665,,13491," ",18.5,>,"Ia",116.51079166666665,18.716805555555553,"Mueller"
1759,"2000du", ,"U 3920",113.82749999999999,19.046666666666663,44,8520,".SX.3.",17.7,>,"II",113.83241666666665,19.045416666666664,"Lick Observatory Supernova Search"
171,"1960D", ,"U 4344",125.06999999999998,20.874999999999996,24,5041,".SA.7.",16.4,>," ",125.07424999999998,20.86794444444444,"Humason"
